Table 1
,
Since I’ve Been Loving You,40
Tea For One (12/8 Blues),41
Dazed and Confused,50
I’m Gonna Crawl,52
You Shook Me,53
In The Light (Main Groove),64
No Quater (Main Riff),68
When The Levee Breaks,71
The Rain Song,72
Stairway To Heaven (Intro),72
Your Time Is Gonna Come,76
Ten Years Gone,76
Thank You,78
Darlene,78
Kashmir,80
Tea For One (4/4) Intro,80
Tangerine ,80
What Is And What Should Never Be,83
Gallows Pole (Beginning),83
Stairway To Heaven (Drums),84
The Lemon Song (Slow Swing),88
The Ocean,88
Tangerine (Drum Entrance),88
Whole Lotta Love,90
For Your Life,90
That’s The Way,90
Down By The Seaside,91
Custard Pie,92
Nobody’s Fault But Mine (Main Riff),92
All My Love,92
Moby Dick,94
South Bound Saurez,94
Out On The Tiles,94
Hots On For Nowhere,95
Good Times Bad Times,96
In My Time Of Dying (Groove),96
Achilles Last Stand (5/4 Modulation),96
Stairway To Heaven (Solo),97
Heartbreaker,98
Over The Hills and Far Away (Full Band),98
Ramble On,100
Bring It On Back,100
Night Flight,100
Gallows Pole (Mandolin Bass Entrance),100
The Rover,102
Poor Tom,103
In The Evening,104
Down By The Seaside (Straight Rock Bridge),105
Gallows Pole (Drum Entrance),105
Royal Orleans,108
Trampled Underfoot,110
Bron-Yr-Aur Stomp (Drums),110
The Wanton Song,112
Sick Again,112
Bring It On Home,114
Candy Store Rock,114
Immigrant Song,114
Caroselambra ,115
Dancing Days,116
We’re Gonna Grove,120
Bron-Yr-Aur Stomp (Guitar Intro),120
Houses Of The Holy,122
Fool In The Rain (Samba Bridge),124
The Ocean (Ending Shuffle),125
Black Country Woman (Four on the Floor),127
Celebration Day,128
Fool In The Rain,131
"Babe, I’m Gonna Leave You",132
Boogie With Stu,132
Misty Mountain Hop,132
Ozone Baby,138
How Many More Times,144
The Song Remains The Same (Main riff),144
Achilles Last Stand,144
The Battle Of Evermore,148
The Lemon Song (Fast Rock),150
Livin Lovin Maid,150
The Song Remains The Same (Intro),150
Dazed and Confused (8ths),155
Going To California,156
You Shook Me (8ths),160
D’yer Mak’er,160
Friends ,162
Black Dog,165
Walter’s Walk,170
Rock N Roll,170
Bron-Yr-Aur,172
Communication Breakdown,175
Dazed and Confused (Solo),190
Four Sticks,210
Heartbreaker (Solo),215
Wearing And Tearing,215
The Crunge (8ths),220
Hot Dog,238
